,close,open,high,low
2003-04-02 00:00:00,1.0767,1.0767,1.0767,1.0767
2003-04-03 00:00:00,1.0755,1.0755,1.0755,1.0755
2003-04-04 00:00:00,1.0731,1.0731,1.0731,1.0731
2003-04-05 00:00:00,1.0739,1.0739,1.0739,1.0739
2003-04-06 00:00:00,1.0688,1.0688,1.0688,1.0688
2003-04-06 23:00:00,1.0695,1.0695,1.0695,1.0695
2003-04-07 23:00:00,1.0707,1.0707,1.0707,1.0707
2003-04-08 23:00:00,1.0772,1.0772,1.0772,1.0772
2003-04-09 23:00:00,1.079,1.079,1.079,1.079
2003-04-10 23:00:00,1.0757,1.0757,1.0757,1.0757
2003-04-12 23:00:00,1.0744,1.0744,1.0744,1.0744
2003-04-13 23:00:00,1.0772,1.0772,1.0772,1.0772
2003-04-14 23:00:00,1.0798,1.0798,1.0798,1.0798
2003-04-15 23:00:00,1.0915,1.0915,1.0915,1.0915
2003-04-16 23:00:00,1.0876,1.0876,1.0876,1.0876
2003-04-17 23:00:00,1.08805,1.08805,1.08805,1.08805
2003-04-19 23:00:00,1.08875,1.08875,1.08875,1.08875
2003-04-20 23:00:00,1.087,1.087,1.087,1.087
2003-04-21 23:00:00,1.0969,1.0969,1.0969,1.0969
2003-04-22 23:00:00,1.0975,1.0975,1.0975,1.0975
2003-04-23 23:00:00,1.1032,1.1032,1.1032,1.1032
2003-04-24 23:00:00,1.1036,1.1036,1.1036,1.1036
2003-04-26 23:00:00,1.1037,1.1037,1.1037,1.1037
2003-04-27 23:00:00,1.0986,1.0986,1.0986,1.0986
2003-04-28 23:00:00,1.1083,1.1083,1.1083,1.1083
2003-04-29 23:00:00,1.1174,1.1174,1.1174,1.1174
2003-04-30 23:00:00,1.12375,1.12375,1.12375,1.12375
2003-05-01 23:00:00,1.123,1.123,1.123,1.123
2003-05-02 23:00:00,1.1234,1.1234,1.1234,1.1234
2003-05-03 23:00:00,1.1231,1.1231,1.1231,1.1231
2003-05-04 23:00:00,1.129,1.129,1.129,1.129
2003-05-05 23:00:00,1.1428,1.1428,1.1428,1.1428
2003-05-06 23:00:00,1.1357,1.1357,1.1357,1.1357
2003-05-07 23:00:00,1.14985,1.14985,1.14985,1.14985
2003-05-08 23:00:00,1.1487,1.1487,1.1487,1.1487
2003-05-10 23:00:00,1.1525,1.1525,1.1525,1.1525
2003-05-11 23:00:00,1.15625,1.15625,1.15625,1.15625
2003-05-12 23:00:00,1.1529,1.1529,1.1529,1.1529
2003-05-13 23:00:00,1.1492,1.1492,1.1492,1.1492
2003-05-14 23:00:00,1.1385,1.1385,1.1385,1.1385
2003-05-15 23:00:00,1.1582,1.1582,1.1582,1.1582
2003-05-16 23:00:00,1.1597,1.1597,1.1597,1.1597
2003-05-17 23:00:00,1.1679,1.1679,1.1679,1.1679
2003-05-18 23:00:00,1.1654,1.1654,1.1654,1.1654
2003-05-19 23:00:00,1.1707,1.1707,1.1707,1.1707
2003-05-20 23:00:00,1.1636,1.1636,1.1636,1.1636
2003-05-21 23:00:00,1.17,1.17,1.17,1.17
2003-05-22 23:00:00,1.1834,1.1834,1.1834,1.1834
2003-05-24 23:00:00,1.1829,1.1829,1.1829,1.1829
2003-05-25 23:00:00,1.18725,1.18725,1.18725,1.18725
2003-05-26 23:00:00,1.1813,1.1813,1.1813,1.1813
2003-05-27 23:00:00,1.1763,1.1763,1.1763,1.1763
2003-05-28 23:00:00,1.19065,1.19065,1.19065,1.19065
2003-05-29 23:00:00,1.1783,1.1783,1.1783,1.1783
2003-05-31 23:00:00,1.1715,1.1715,1.1715,1.1715
2003-06-01 23:00:00,1.1753,1.1753,1.1753,1.1753
2003-06-02 23:00:00,1.1734,1.1734,1.1734,1.1734
2003-06-03 23:00:00,1.1642,1.1642,1.1642,1.1642
2003-06-04 23:00:00,1.1837,1.1837,1.1837,1.1837
2003-06-05 23:00:00,1.1699,1.1699,1.1699,1.1699
2003-06-07 23:00:00,1.1704,1.1704,1.1704,1.1704
2003-06-08 23:00:00,1.1713,1.1713,1.1713,1.1713
2003-06-09 23:00:00,1.1673,1.1673,1.1673,1.1673
2003-06-10 23:00:00,1.1756,1.1756,1.1756,1.1756
2003-06-11 23:00:00,1.1771,1.1771,1.1771,1.1771
2003-06-12 23:00:00,1.1861,1.1861,1.1861,1.1861
2003-06-14 23:00:00,1.1877,1.1877,1.1877,1.1877
2003-06-15 23:00:00,1.1826,1.1826,1.1826,1.1826
2003-06-16 23:00:00,1.1783,1.1783,1.1783,1.1783
2003-06-17 23:00:00,1.1693,1.1693,1.1693,1.1693
2003-06-18 23:00:00,1.1725,1.1725,1.1725,1.1725
2003-06-19 23:00:00,1.1602,1.1602,1.1602,1.1602
2003-06-21 23:00:00,1.15765,1.15765,1.15765,1.15765
2003-06-22 23:00:00,1.1555,1.1555,1.1555,1.1555
2003-06-23 23:00:00,1.151,1.151,1.151,1.151
2003-06-24 23:00:00,1.1543,1.1543,1.1543,1.1543
2003-06-25 23:00:00,1.1425,1.1425,1.1425,1.1425
2003-06-26 23:00:00,1.1433,1.1433,1.1433,1.1433
2003-06-28 23:00:00,1.1437,1.1437,1.1437,1.1437
2003-06-29 23:00:00,1.1506,1.1506,1.1506,1.1506
2003-06-30 23:00:00,1.1562,1.1562,1.1562,1.1562
2003-07-01 23:00:00,1.1543,1.1543,1.1543,1.1543
2003-07-02 23:00:00,1.1497,1.1497,1.1497,1.1497
2003-07-03 23:00:00,1.1489,1.1489,1.1489,1.1489
2003-07-05 23:00:00,1.1482,1.1482,1.1482,1.1482
2003-07-06 23:00:00,1.1318,1.1318,1.1318,1.1318
2003-07-07 23:00:00,1.1319,1.1319,1.1319,1.1319
2003-07-08 23:00:00,1.1347,1.1347,1.1347,1.1347
2003-07-09 23:00:00,1.1381,1.1381,1.1381,1.1381
2003-07-10 23:00:00,1.1297,1.1297,1.1297,1.1297
2003-07-12 23:00:00,1.1295,1.1295,1.1295,1.1295
2003-07-13 23:00:00,1.1273,1.1273,1.1273,1.1273
2003-07-14 23:00:00,1.1174,1.1174,1.1174,1.1174
2003-07-15 23:00:00,1.1216,1.1216,1.1216,1.1216
2003-07-16 23:00:00,1.1205,1.1205,1.1205,1.1205
2003-07-17 23:00:00,1.1275,1.1275,1.1275,1.1275
2003-07-19 23:00:00,1.1264,1.1264,1.1264,1.1264
2003-07-20 23:00:00,1.1353,1.1353,1.1353,1.1353
2003-07-21 23:00:00,1.1326,1.1326,1.1326,1.1326
2003-07-22 23:00:00,1.1487,1.1487,1.1487,1.1487
2003-07-23 23:00:00,1.1477,1.1477,1.1477,1.1477
2003-07-24 23:00:00,1.1512,1.1512,1.1512,1.1512
2003-07-26 23:00:00,1.1473,1.1473,1.1473,1.1473
2003-07-27 23:00:00,1.1495,1.1495,1.1495,1.1495
2003-07-28 23:00:00,1.1441,1.1441,1.1441,1.1441
2003-07-29 23:00:00,1.1345,1.1345,1.1345,1.1345
2003-07-30 23:00:00,1.1232,1.1232,1.1232,1.1232
2003-07-31 23:00:00,1.1275,1.1275,1.1275,1.1275
2003-08-02 23:00:00,1.1283,1.1283,1.1283,1.1283
2003-08-03 23:00:00,1.1361,1.1361,1.1361,1.1361
2003-08-04 23:00:00,1.1387,1.1387,1.1387,1.1387
2003-08-05 23:00:00,1.1334,1.1334,1.1334,1.1334
2003-08-06 23:00:00,1.1373,1.1373,1.1373,1.1373
2003-08-07 23:00:00,1.1309,1.1309,1.1309,1.1309
2003-08-09 23:00:00,1.1301,1.1301,1.1301,1.1301
2003-08-10 23:00:00,1.1359,1.1359,1.1359,1.1359
2003-08-11 23:00:00,1.1284,1.1284,1.1284,1.1284
2003-08-12 23:00:00,1.1323,1.1323,1.1323,1.1323
2003-08-13 23:00:00,1.1262,1.1262,1.1262,1.1262
2003-08-14 23:00:00,1.1266,1.1266,1.1266,1.1266
2003-08-16 23:00:00,1.1259,1.1259,1.1259,1.1259
2003-08-17 23:00:00,1.1147,1.1147,1.1147,1.1147
2003-08-18 23:00:00,1.1141,1.1141,1.1141,1.1141
2003-08-19 23:00:00,1.1121,1.1121,1.1121,1.1121
2003-08-20 23:00:00,1.0923,1.0923,1.0923,1.0923
2003-08-21 23:00:00,1.0877,1.0877,1.0877,1.0877
2003-08-23 23:00:00,1.0855,1.0855,1.0855,1.0855
2003-08-24 23:00:00,1.0874,1.0874,1.0874,1.0874
2003-08-25 23:00:00,1.0858,1.0858,1.0858,1.0858
2003-08-26 23:00:00,1.0887,1.0887,1.0887,1.0887
2003-08-27 23:00:00,1.0883,1.0883,1.0883,1.0883
2003-08-28 23:00:00,1.0984,1.0984,1.0984,1.0984
2003-08-30 23:00:00,1.0995,1.0995,1.0995,1.0995
2003-08-31 23:00:00,1.0969,1.0969,1.0969,1.0969
2003-09-01 23:00:00,1.0809,1.0809,1.0809,1.0809
2003-09-02 23:00:00,1.0849,1.0849,1.0849,1.0849
2003-09-03 23:00:00,1.0945,1.0945,1.0945,1.0945
2003-09-04 23:00:00,1.1105,1.1105,1.1105,1.1105
2003-09-06 23:00:00,1.1102,1.1102,1.1102,1.1102
2003-09-07 23:00:00,1.1068,1.1068,1.1068,1.1068
2003-09-08 23:00:00,1.1225,1.1225,1.1225,1.1225
2003-09-09 23:00:00,1.1209,1.1209,1.1209,1.1209
2003-09-10 23:00:00,1.1208,1.1208,1.1208,1.1208
2003-09-11 23:00:00,1.1291,1.1291,1.1291,1.1291
2003-09-13 23:00:00,1.1274,1.1274,1.1274,1.1274
2003-09-14 23:00:00,1.1283,1.1283,1.1283,1.1283
2003-09-15 23:00:00,1.1177,1.1177,1.1177,1.1177
2003-09-16 23:00:00,1.1284,1.1284,1.1284,1.1284
2003-09-17 23:00:00,1.1255,1.1255,1.1255,1.1255
2003-09-18 23:00:00,1.1371,1.1371,1.1371,1.1371
2003-09-20 23:00:00,1.1435,1.1435,1.1435,1.1435
2003-09-21 23:00:00,1.1461,1.1461,1.1461,1.1461
2003-09-22 23:00:00,1.1444,1.1444,1.1444,1.1444
2003-09-23 23:00:00,1.1496,1.1496,1.1496,1.1496
2003-09-24 23:00:00,1.149,1.149,1.149,1.149
2003-09-25 23:00:00,1.1463,1.1463,1.1463,1.1463
2003-09-27 23:00:00,1.1459,1.1459,1.1459,1.1459
2003-09-28 23:00:00,1.1599,1.1599,1.1599,1.1599
2003-09-29 23:00:00,1.1657,1.1657,1.1657,1.1657
2003-09-30 23:00:00,1.1716,1.1716,1.1716,1.1716
2003-10-01 23:00:00,1.1694,1.1694,1.1694,1.1694
2003-10-02 23:00:00,1.158,1.158,1.158,1.158
2003-10-04 23:00:00,1.1563,1.1563,1.1563,1.1563
2003-10-05 23:00:00,1.171,1.171,1.171,1.171
2003-10-06 23:00:00,1.1761,1.1761,1.1761,1.1761
2003-10-07 23:00:00,1.1811,1.1811,1.1811,1.1811
2003-10-08 23:00:00,1.1748,1.1748,1.1748,1.1748
2003-10-09 23:00:00,1.1798,1.1798,1.1798,1.1798
2003-10-11 23:00:00,1.181,1.181,1.181,1.181
2003-10-12 23:00:00,1.1705,1.1705,1.1705,1.1705
2003-10-13 23:00:00,1.1722,1.1722,1.1722,1.1722
2003-10-14 23:00:00,1.1635,1.1635,1.1635,1.1635
2003-10-15 23:00:00,1.1585,1.1585,1.1585,1.1585
2003-10-16 23:00:00,1.1679,1.1679,1.1679,1.1679
2003-10-18 23:00:00,1.1705,1.1705,1.1705,1.1705
2003-10-19 23:00:00,1.1636,1.1636,1.1636,1.1636
2003-10-20 23:00:00,1.1667,1.1667,1.1667,1.1667
2003-10-21 23:00:00,1.1804,1.1804,1.1804,1.1804
2003-10-22 23:00:00,1.1791,1.1791,1.1791,1.1791
2003-10-23 23:00:00,1.1781,1.1781,1.1781,1.1781
2003-10-25 23:00:00,1.1768,1.1768,1.1768,1.1768
2003-10-27 00:00:00,1.1747,1.1747,1.1747,1.1747
2003-10-28 00:00:00,1.1668,1.1668,1.1668,1.1668
2003-10-29 00:00:00,1.1668,1.1668,1.1668,1.1668
2003-10-30 00:00:00,1.1636,1.1636,1.1636,1.1636
2003-10-31 00:00:00,1.1583,1.1583,1.1583,1.1583
2003-11-02 00:00:00,1.159,1.159,1.159,1.159
2003-11-03 00:00:00,1.1451,1.1451,1.1451,1.1451
2003-11-04 00:00:00,1.1494,1.1494,1.1494,1.1494
2003-11-05 00:00:00,1.1437,1.1437,1.1437,1.1437
2003-11-06 00:00:00,1.1408,1.1408,1.1408,1.1408
2003-11-07 00:00:00,1.1535,1.1535,1.1535,1.1535
2003-11-09 00:00:00,1.1514,1.1514,1.1514,1.1514
2003-11-10 00:00:00,1.1492,1.1492,1.1492,1.1492
2003-11-11 00:00:00,1.1507,1.1507,1.1507,1.1507
2003-11-12 00:00:00,1.1638,1.1638,1.1638,1.1638
2003-11-13 00:00:00,1.173,1.173,1.173,1.173
2003-11-14 00:00:00,1.1782,1.1782,1.1782,1.1782
2003-11-16 00:00:00,1.1786,1.1786,1.1786,1.1786
2003-11-17 00:00:00,1.1753,1.1753,1.1753,1.1753
2003-11-18 00:00:00,1.1949,1.1949,1.1949,1.1949
2003-11-19 00:00:00,1.1885,1.1885,1.1885,1.1885
2003-11-20 00:00:00,1.1913,1.1913,1.1913,1.1913
2003-11-21 00:00:00,1.1917,1.1917,1.1917,1.1917
2003-11-23 00:00:00,1.1918,1.1918,1.1918,1.1918
2003-11-24 00:00:00,1.1761,1.1761,1.1761,1.1761
2003-11-25 00:00:00,1.1784,1.1784,1.1784,1.1784
2003-11-26 00:00:00,1.19405,1.19405,1.19405,1.19405
2003-11-27 00:00:00,1.1908,1.1908,1.1908,1.1908
2003-11-28 00:00:00,1.1993,1.1993,1.1993,1.1993
2003-11-30 00:00:00,1.1984,1.1984,1.1984,1.1984
2003-12-01 00:00:00,1.1976,1.1976,1.1976,1.1976
2003-12-02 00:00:00,1.2077,1.2077,1.2077,1.2077
2003-12-03 00:00:00,1.2112,1.2112,1.2112,1.2112
2003-12-04 00:00:00,1.2075,1.2075,1.2075,1.2075
2003-12-05 00:00:00,1.2166,1.2166,1.2166,1.2166
2003-12-07 00:00:00,1.2166,1.2166,1.2166,1.2166
2003-12-08 00:00:00,1.2225,1.2225,1.2225,1.2225
2003-12-09 00:00:00,1.2254,1.2254,1.2254,1.2254
2003-12-10 00:00:00,1.2216,1.2216,1.2216,1.2216
2003-12-11 00:00:00,1.2208,1.2208,1.2208,1.2208
2003-12-12 00:00:00,1.2294,1.2294,1.2294,1.2294
2003-12-14 00:00:00,1.21615,1.21615,1.21615,1.21615
2003-12-15 00:00:00,1.231,1.231,1.231,1.231
2003-12-16 00:00:00,1.2323,1.2323,1.2323,1.2323
2003-12-17 00:00:00,1.2404,1.2404,1.2404,1.2404
2003-12-18 00:00:00,1.2435,1.2435,1.2435,1.2435
2003-12-19 00:00:00,1.2378,1.2378,1.2378,1.2378
2003-12-21 00:00:00,1.2406,1.2406,1.2406,1.2406
2003-12-22 00:00:00,1.2404,1.2404,1.2404,1.2404
2003-12-23 00:00:00,1.2393,1.2393,1.2393,1.2393
2003-12-24 00:00:00,1.2453,1.2453,1.2453,1.2453
2003-12-25 00:00:00,1.2451,1.2451,1.2451,1.2451
2003-12-26 00:00:00,1.243,1.243,1.243,1.243
2003-12-28 00:00:00,1.2445,1.2445,1.2445,1.2445
2003-12-29 00:00:00,1.2486,1.2486,1.2486,1.2486
2003-12-30 00:00:00,1.2553,1.2553,1.2553,1.2553
2003-12-31 00:00:00,1.2578,1.2578,1.2578,1.2578
2004-01-01 00:00:00,1.255,1.255,1.255,1.255
2004-01-02 00:00:00,1.2593,1.2593,1.2593,1.2593
2004-01-04 00:00:00,1.2585,1.2585,1.2585,1.2585
2004-01-05 00:00:00,1.2657,1.2657,1.2657,1.2657
2004-01-06 00:00:00,1.274,1.274,1.274,1.274
2004-01-07 00:00:00,1.2639,1.2639,1.2639,1.2639
2004-01-08 00:00:00,1.2768,1.2768,1.2768,1.2768
2004-01-09 00:00:00,1.2841,1.2841,1.2841,1.2841
2004-01-11 00:00:00,1.2832,1.2832,1.2832,1.2832
2004-01-12 00:00:00,1.2745,1.2745,1.2745,1.2745
2004-01-13 00:00:00,1.2765,1.2765,1.2765,1.2765
2004-01-14 00:00:00,1.2653,1.2653,1.2653,1.2653
2004-01-15 00:00:00,1.2567,1.2567,1.2567,1.2567
2004-01-16 00:00:00,1.2373,1.2373,1.2373,1.2373
2004-01-17 00:00:00,1.2401,1.2401,1.2401,1.2401
2004-01-18 00:00:00,1.2382,1.2382,1.2382,1.2382
2004-01-19 00:00:00,1.2352,1.2352,1.2352,1.2352
2004-01-20 00:00:00,1.2578,1.2578,1.2578,1.2578
2004-01-21 00:00:00,1.2631,1.2631,1.2631,1.2631
2004-01-22 00:00:00,1.271,1.271,1.271,1.271
2004-01-23 00:00:00,1.2588,1.2588,1.2588,1.2588
2004-01-25 00:00:00,1.2583,1.2583,1.2583,1.2583
2004-01-26 00:00:00,1.2472,1.2472,1.2472,1.2472
2004-01-27 00:00:00,1.2639,1.2639,1.2639,1.2639
2004-01-28 00:00:00,1.24895,1.24895,1.24895,1.24895
2004-01-29 00:00:00,1.2414,1.2414,1.2414,1.2414
2004-01-30 00:00:00,1.2475,1.2475,1.2475,1.2475
2004-02-01 00:00:00,1.2479,1.2479,1.2479,1.2479
2004-02-02 00:00:00,1.2427,1.2427,1.2427,1.2427
2004-02-03 00:00:00,1.2533,1.2533,1.2533,1.2533
2004-02-04 00:00:00,1.2531,1.2531,1.2531,1.2531
2004-02-05 00:00:00,1.254,1.254,1.254,1.254
2004-02-06 00:00:00,1.2702,1.2702,1.2702,1.2702
2004-02-07 00:00:00,1.2701,1.2701,1.2701,1.2701
2004-02-08 00:00:00,1.26275,1.26275,1.26275,1.26275
2004-02-09 00:00:00,1.2684,1.2684,1.2684,1.2684
2004-02-10 00:00:00,1.2699,1.2699,1.2699,1.2699
2004-02-11 00:00:00,1.2826,1.2826,1.2826,1.2826
2004-02-12 00:00:00,1.2804,1.2804,1.2804,1.2804
2004-02-13 00:00:00,1.2742,1.2742,1.2742,1.2742
2004-02-15 00:00:00,1.2751,1.2751,1.2751,1.2751
2004-02-16 00:00:00,1.2771,1.2771,1.2771,1.2771
2004-02-17 00:00:00,1.2837,1.2837,1.2837,1.2837
2004-02-18 00:00:00,1.2663,1.2663,1.2663,1.2663
2004-02-19 00:00:00,1.2708,1.2708,1.2708,1.2708
2004-02-20 00:00:00,1.2527,1.2527,1.2527,1.2527
2004-02-22 00:00:00,1.2507,1.2507,1.2507,1.2507
2004-02-23 00:00:00,1.2555,1.2555,1.2555,1.2555
2004-02-24 00:00:00,1.2685,1.2685,1.2685,1.2685
2004-02-25 00:00:00,1.2494,1.2494,1.2494,1.2494
2004-02-26 00:00:00,1.2433,1.2433,1.2433,1.2433
2004-02-27 00:00:00,1.2494,1.2494,1.2494,1.2494
2004-02-29 00:00:00,1.2485,1.2485,1.2485,1.2485
2004-03-01 00:00:00,1.2444,1.2444,1.2444,1.2444
2004-03-02 00:00:00,1.2217,1.2217,1.2217,1.2217
2004-03-03 00:00:00,1.2198,1.2198,1.2198,1.2198
2004-03-04 00:00:00,1.2192,1.2192,1.2192,1.2192
2004-03-05 00:00:00,1.2375,1.2375,1.2375,1.2375
